categoria,url,fecha,info,paginas
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/033240-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/024260-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/036220-1.pdf,2026-06-13,,103
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/022250-1.pdf,2026-06-13,,60
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/015240-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/033230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/053250-1.pdf,2026-06-13,,141
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/032240-1.pdf,2026-06-13,,2
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/055250-3.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/019240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/057230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/006250-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/047240-4.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/034250-6.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/080230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/036240-1.pdf,2026-06-13,,10
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/033230-4.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/040230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/029230-1.pdf,2026-06-13,,89
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/013240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/014230-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/077230-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/035250-1.pdf,2026-06-13,,101
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/039250-1.pdf,2026-06-13,,91
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/016240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/001250-3.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/035260-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/002230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/046230-1.pdf,2026-06-13,,84
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/009250-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/055230-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/002260-1.pdf,2026-06-13,,154
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/018260-1.pdf,2026-06-13,,14
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/052230-3.pdf,2026-06-13,,32
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/039240-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/053230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/001260-1.pdf,2026-06-13,,24
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/073230-1.pdf,2026-06-13,,138
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/004230-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/048230-1.pdf,2026-06-13,,106
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/027230-1.pdf,2026-06-13,,68
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/032230-2.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/039230-3.pdf,2026-06-13,,14
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/019240-1.pdf,2026-06-13,,7
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/079230-1.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/002250-1.pdf,2026-06-13,,25
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/018230-3.pdf,2026-06-13,,14
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/075230-4.pdf,2026-06-13,,1
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/051250-1.pdf,2026-06-13,,13
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/050220-1.pdf,2026-06-13,,22
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/009240-1.pdf,2026-06-13,,3
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/043240-3.pdf,2026-06-13,,12
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/023250-1.pdf,2026-06-13,,12
boletines,https://quilmes.gov.ar/contrataciones/licpublicas/003230-4.pdf,2026-06-13,,1
